D_INTERVIEW,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q208
GPT-OSS_120B_baseline,3,2,3,1,2,1,3,3
LLAMA3_1_70B_baseline,2,3,2,1,1,1,2,2
LLAMA3_70B_baseline,4,3,3,1,3,1,3,3
PHI3_INSTRUCT_baseline,2,2,1,2,2,4,1,2
QWEN2_5VL_32B_baseline,3,3,3,3,3,3,3,3
QWEN2_5VL_72B_baseline,5,2,3,1,1,1,3,1
QWEN2_5VL_7B_baseline,3,3,3,5,3,5,3,3
QWEN3_32B_baseline,2,2,1,1,1,1,2,2
QWEN_7B_baseline,1,2,2,3,2,5,5,4
GPT_4O_baseline,3,3,3,1,2,1,3,3
GPT-OSS_120B_chainofthought,4,3,2,1,1,1,2,3
LLAMA3_1_70B_chainofthought,3,3,3,2,2,2,2,4
LLAMA3_70B_chainofthought,4,3,2,2,2,2,3,2
PHI3_INSTRUCT_chainofthought,2,3,3,2,2,2,2,2
QWEN2_5VL_32B_chainofthought,3,3,3,3,3,3,3,3
QWEN2_5VL_72B_chainofthought,4,2,3,1,1,1,2,1
QWEN2_5VL_7B_chainofthought,3,3,3,3,3,3,3,3
QWEN3_32B_chainofthought,3,2,3,1,1,1,2,2
QWEN_7B_chainofthought,5,3,2,5,5,3,2,5
GPT_4O_chainofthought,3,3,3,1,3,1,3,3
GPT-OSS_120B_declarative,3,2,3,1,1,1,3,2
LLAMA3_1_70B_declarative,2,3,2,2,2,2,3,2
LLAMA3_70B_declarative,3,3,3,1,2,2,3,3
PHI3_INSTRUCT_declarative,2,2,3,5,3,2,3,2
QWEN2_5VL_32B_declarative,3,3,3,3,3,3,3,3
QWEN2_5VL_72B_declarative,2,2,2,2,2,1,3,2
QWEN2_5VL_7B_declarative,3,3,3,5,3,3,3,3
QWEN3_32B_declarative,2,1,2,1,1,1,3,2
QWEN_7B_declarative,2,2,4,2,3,4,2,3
GPT_4O_declarative,3,3,3,1,3,1,3,3
GPT-OSS_120B_explicit,3,2,4,1,1,1,3,3
LLAMA3_1_70B_explicit,4,2,3,1,3,1,2,3
LLAMA3_70B_explicit,3,3,3,2,3,1,3,2
PHI3_INSTRUCT_explicit,2,2,2,2,2,2,2,2
QWEN2_5VL_32B_explicit,3,3,3,2,3,1,3,3
QWEN2_5VL_72B_explicit,4,2,3,1,1,1,2,2
QWEN2_5VL_7B_explicit,3,3,3,5,3,1,3,3
QWEN3_32B_explicit,2,2,2,1,1,1,2,1
QWEN_7B_explicit,1,3,4,4,3,4,2,2
GPT_4O_explicit,3,3,3,1,3,1,3,3
GPT-OSS_120B_parantheses,4,2,3,1,1,1,3,2
LLAMA3_1_70B_parantheses,3,5,4,2,3,1,3,2
LLAMA3_70B_parantheses,4,3,3,1,2,1,3,3
PHI3_INSTRUCT_parantheses,2,2,2,3,3,2,2,3
QWEN2_5VL_32B_parantheses,3,3,3,2,3,1,3,3
QWEN2_5VL_72B_parantheses,4,2,3,1,1,1,2,1
QWEN2_5VL_7B_parantheses,3,3,3,5,3,5,3,3
QWEN3_32B_parantheses,2,3,2,1,1,1,1,1
QWEN_7B_parantheses,4,3,2,2,2,4,4,3
GPT_4O_parantheses,3,3,3,1,2,1,3,3
GPT-OSS_120B_roleplay,2,2,3,1,1,1,3,3
LLAMA3_1_70B_roleplay,2,2,2,1,2,2,2,2
LLAMA3_70B_roleplay,2,3,3,1,2,1,3,2
PHI3_INSTRUCT_roleplay,3,5,2,2,3,4,5,3
QWEN2_5VL_32B_roleplay,3,3,3,2,3,1,3,3
QWEN2_5VL_72B_roleplay,4,2,3,1,1,1,3,2
QWEN2_5VL_7B_roleplay,3,3,3,5,5,5,4,3
QWEN3_32B_roleplay,4,3,4,1,1,1,2,2
QWEN_7B_roleplay,1,3,3,5,5,5,4,3
GPT_4O_roleplay,3,3,3,1,2,1,3,3
