D_INTERVIEW,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,Q103,Q104
GPT-OSS_120B_baseline,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LLAMA3_1_70B_baseline,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
LLAMA3_70B_baseline,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0
PHI3_INSTRUCT_baseline,1.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0
QWEN2_5VL_32B_baseline,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
QWEN2_5VL_72B_baseline,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
QWEN2_5VL_7B_baseline,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
QWEN3_32B_baseline,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
QWEN_7B_baseline,2.0,2.0,2.0,2.0,,2.0,1.0,2.0,2.0,2.0,1.0
GPT_4O_baseline,0.0,1.0,,0.0,1.0,1.0,1.0,,0.0,0.0,
GPT-OSS_120B_chainofthought,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
LLAMA3_1_70B_chainofthought,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
LLAMA3_70B_chainofthought,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0
PHI3_INSTRUCT_chainofthought,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
QWEN2_5VL_32B_chainofthought,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
QWEN2_5VL_72B_chainofthought,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
QWEN2_5VL_7B_chainofthought,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
QWEN3_32B_chainofthought,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
QWEN_7B_chainofthought,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,
GPT_4O_chainofthought,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
GPT-OSS_120B_declarative,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
LLAMA3_1_70B_declarative,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0
LLAMA3_70B_declarative,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PHI3_INSTRUCT_declarative,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0
QWEN2_5VL_32B_declarative,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
QWEN2_5VL_72B_declarative,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
QWEN2_5VL_7B_declarative,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
QWEN3_32B_declarative,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0
QWEN_7B_declarative,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0
GPT_4O_declarative,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
