D_INTERVIEW,Q241,Q242,Q243,Q244,Q245,Q246,Q247,Q248,Q249
GPT-OSS_120B_baseline,7,1,10,6,1,10,2,2,9
LLAMA3_1_70B_baseline,5,0,9,6,0,9,8,0,9
LLAMA3_70B_baseline,4,0,10,6,0,10,2,0,10
PHI3_INSTRUCT_baseline,7,2,9,5,0,8,0,0,9
QWEN2_5VL_32B_baseline,4,1,10,3,1,9,1,1,10
QWEN2_5VL_72B_baseline,5,1,10,5,1,9,2,1,9
QWEN2_5VL_7B_baseline,7,0,9,3,0,8,0,0,8
QWEN3_32B_baseline,5,1,10,4,1,10,2,5,10
QWEN_7B_baseline,7,6,10,3,6,10,0,1,10
GPT_4O_baseline,5,1,10,4,1,10,3,3,10
GPT-OSS_120B_chainofthought,6,1,10,4,1,10,2,2,10
LLAMA3_1_70B_chainofthought,6,0,10,6,0,8,0,2,9
LLAMA3_70B_chainofthought,6,0,10,6,0,10,2,0,10
PHI3_INSTRUCT_chainofthought,8,9,8,10,9,8,5,2,9
QWEN2_5VL_32B_chainofthought,5,1,10,4,2,9,2,2,9
QWEN2_5VL_72B_chainofthought,5,1,9,5,1,9,2,2,9
QWEN2_5VL_7B_chainofthought,7,0,9,6,0,9,0,2,8
QWEN3_32B_chainofthought,4,1,10,4,1,10,2,7,10
QWEN_7B_chainofthought,5,3,8,2,2,7,2,2,7
GPT_4O_chainofthought,5,1,10,5,1,10,2,3,10
GPT-OSS_120B_declarative,4,1,10,5,1,10,2,3,10
LLAMA3_1_70B_declarative,8,0,10,6,0,10,0,2,10
LLAMA3_70B_declarative,6,0,10,6,0,10,2,0,10
PHI3_INSTRUCT_declarative,7,2,10,7,2,8,9,1,9
QWEN2_5VL_32B_declarative,4,1,10,4,1,9,1,1,10
QWEN2_5VL_72B_declarative,5,1,9,6,1,9,2,1,9
QWEN2_5VL_7B_declarative,7,0,9,7,0,9,0,2,9
QWEN3_32B_declarative,5,1,10,5,0,10,3,3,10
QWEN_7B_declarative,4,2,9,2,2,9,2,2,7
GPT_4O_declarative,5,1,10,4,1,9,1,3,10
GPT-OSS_120B_explicit,6,1,10,4,1,10,2,2,10
LLAMA3_1_70B_explicit,7,0,10,3,0,9,2,0,9
LLAMA3_70B_explicit,6,0,10,6,0,10,2,0,10
PHI3_INSTRUCT_explicit,5,2,9,5,9,8,9,2,9
QWEN2_5VL_32B_explicit,5,1,10,4,1,9,1,1,10
QWEN2_5VL_72B_explicit,5,1,10,5,1,9,2,1,9
QWEN2_5VL_7B_explicit,7,0,9,3,0,9,0,2,9
QWEN3_32B_explicit,5,1,10,3,1,10,1,2,10
QWEN_7B_explicit,6,2,9,2,2,9,2,2,6
GPT_4O_explicit,5,1,10,5,1,10,3,1,10
GPT-OSS_120B_parantheses,6,1,10,7,1,10,2,2,10
LLAMA3_1_70B_parantheses,7,0,10,3,0,8,2,0,8
LLAMA3_70B_parantheses,6,0,10,8,0,10,2,0,10
PHI3_INSTRUCT_parantheses,7,2,9,7,2,9,2,2,9
QWEN2_5VL_32B_parantheses,5,1,10,4,1,9,2,1,10
QWEN2_5VL_72B_parantheses,5,1,10,5,1,9,2,1,9
QWEN2_5VL_7B_parantheses,7,0,8,6,0,8,0,2,8
QWEN3_32B_parantheses,5,1,10,6,1,10,1,7,10
QWEN_7B_parantheses,7,7,9,2,2,9,3,2,7
GPT_4O_parantheses,7,1,10,5,1,10,3,5,10
GPT-OSS_120B_roleplay,7,1,10,7,1,10,2,2,10
LLAMA3_1_70B_roleplay,6,0,10,6,0,8,2,0,10
LLAMA3_70B_roleplay,8,1,10,8,0,10,2,0,10
PHI3_INSTRUCT_roleplay,7,9,9,7,9,9,2,9,9
QWEN2_5VL_32B_roleplay,5,1,10,5,1,9,2,2,10
QWEN2_5VL_72B_roleplay,5,1,10,7,1,9,2,1,9
QWEN2_5VL_7B_roleplay,6,0,9,6,0,9,0,2,9
QWEN3_32B_roleplay,6,1,10,5,1,10,3,6,10
QWEN_7B_roleplay,4,5,9,3,6,8,2,2,7
GPT_4O_roleplay,6,1,10,5,1,10,3,4,10
