D_INTERVIEW,Q158,Q159,Q160,Q161,Q162
GPT-OSS_120B_baseline,8,8,2,2,2
LLAMA3_1_70B_baseline,10,7,4,2,8
LLAMA3_70B_baseline,8,9,4,4,2
PHI3_INSTRUCT_baseline,8,8,7,7,9
QWEN2_5VL_32B_baseline,8,8,3,3,2
QWEN2_5VL_72B_baseline,8,8,4,3,2
QWEN2_5VL_7B_baseline,8,7,3,7,2
QWEN3_32B_baseline,9,8,1,2,1
QWEN_7B_baseline,10,8,6,7,4
GPT_4O_baseline,8,7,5,5,4
GPT-OSS_120B_chainofthought,7,8,2,3,2
LLAMA3_1_70B_chainofthought,8,8,4,6,8
LLAMA3_70B_chainofthought,8,9,5,6,8
PHI3_INSTRUCT_chainofthought,10,9,6,7,2
QWEN2_5VL_32B_chainofthought,8,8,4,4,3
QWEN2_5VL_72B_chainofthought,8,8,3,3,2
QWEN2_5VL_7B_chainofthought,8,7,3,7,2
QWEN3_32B_chainofthought,9,8,1,3,10
QWEN_7B_chainofthought,10,9,8,7,7
GPT_4O_chainofthought,8,7,4,3,3
GPT-OSS_120B_declarative,8,8,3,3,2
LLAMA3_1_70B_declarative,8,8,4,6,10
LLAMA3_70B_declarative,,8,3,3,2
PHI3_INSTRUCT_declarative,8,10,7,4,8
QWEN2_5VL_32B_declarative,8,8,3,3,2
QWEN2_5VL_72B_declarative,8,8,2,2,2
QWEN2_5VL_7B_declarative,8,8,2,7,2
QWEN3_32B_declarative,9,8,2,3,1
QWEN_7B_declarative,7,7,6,7,2
GPT_4O_declarative,8,8,4,4,3
GPT-OSS_120B_explicit,8,7,2,3,2
LLAMA3_1_70B_explicit,8,8,6,7,6
LLAMA3_70B_explicit,8,8,2,3,2
PHI3_INSTRUCT_explicit,7,8,4,5,9
QWEN2_5VL_32B_explicit,8,8,4,3,2
QWEN2_5VL_72B_explicit,8,8,2,2,2
QWEN2_5VL_7B_explicit,8,8,2,7,2
QWEN3_32B_explicit,9,8,2,2,1
QWEN_7B_explicit,9,9,6,7,9
GPT_4O_explicit,8,7,5,5,4
GPT-OSS_120B_parantheses,8,8,3,3,2
LLAMA3_1_70B_parantheses,8,8,4,4,6
LLAMA3_70B_parantheses,9,8,4,6,8
PHI3_INSTRUCT_parantheses,7,9,7,4,2
QWEN2_5VL_32B_parantheses,8,8,5,4,2
QWEN2_5VL_72B_parantheses,8,8,2,2,2
QWEN2_5VL_7B_parantheses,8,8,6,6,2
QWEN3_32B_parantheses,9,9,1,2,1
QWEN_7B_parantheses,7,7,6,7,5
GPT_4O_parantheses,7,8,5,5,4
GPT-OSS_120B_roleplay,9,9,4,2,2
LLAMA3_1_70B_roleplay,8,8,4,6,2
LLAMA3_70B_roleplay,8,8,4,6,2
PHI3_INSTRUCT_roleplay,10,9,7,3,9
QWEN2_5VL_32B_roleplay,8,8,3,3,3
QWEN2_5VL_72B_roleplay,8,8,3,2,2
QWEN2_5VL_7B_roleplay,8,8,2,7,2
QWEN3_32B_roleplay,8,8,2,2,1
QWEN_7B_roleplay,7,9,7,7,3
GPT_4O_roleplay,8,8,4,4,3
