D_INTERVIEW,Q51,Q52,Q53,Q54,Q55
GPT-OSS_120B_baseline,4,4,4,4,4
LLAMA3_1_70B_baseline,4,2,2,2,2
LLAMA3_70B_baseline,2,2,2,2,4
PHI3_INSTRUCT_baseline,2,3,2,3,4
QWEN2_5VL_32B_baseline,4,3,3,3,4
QWEN2_5VL_72B_baseline,4,4,4,4,4
QWEN2_5VL_7B_baseline,1,3,3,3,4
QWEN3_32B_baseline,4,4,4,4,4
QWEN_7B_baseline,4,4,3,3,3
GPT_4O_baseline,4,3,2,4,4
GPT-OSS_120B_chainofthought,4,4,4,4,4
LLAMA3_1_70B_chainofthought,1,2,2,2,1
LLAMA3_70B_chainofthought,4,2,2,2,4
PHI3_INSTRUCT_chainofthought,2,3,2,2,1
QWEN2_5VL_32B_chainofthought,3,3,3,3,4
QWEN2_5VL_72B_chainofthought,4,4,4,4,4
QWEN2_5VL_7B_chainofthought,3,3,3,3,3
QWEN3_32B_chainofthought,4,4,4,4,4
QWEN_7B_chainofthought,3,3,3,4,3
GPT_4O_chainofthought,4,3,3,3,4
GPT-OSS_120B_declarative,4,4,4,3,4
LLAMA3_1_70B_declarative,4,2,2,4,1
LLAMA3_70B_declarative,4,2,2,2,4
PHI3_INSTRUCT_declarative,2,3,1,1,3
QWEN2_5VL_32B_declarative,3,3,3,3,4
QWEN2_5VL_72B_declarative,1,1,1,4,4
QWEN2_5VL_7B_declarative,2,2,3,2,3
QWEN3_32B_declarative,4,3,4,4,4
QWEN_7B_declarative,3,2,3,2,3
GPT_4O_declarative,4,4,4,4,4
GPT-OSS_120B_explicit,4,4,4,4,4
LLAMA3_1_70B_explicit,3,2,2,2,2
LLAMA3_70B_explicit,2,2,1,2,4
PHI3_INSTRUCT_explicit,2,2,2,2,4
QWEN2_5VL_32B_explicit,4,4,3,3,4
QWEN2_5VL_72B_explicit,4,4,4,4,4
QWEN2_5VL_7B_explicit,3,3,3,3,4
QWEN3_32B_explicit,4,4,4,4,4
QWEN_7B_explicit,3,3,3,3,3
GPT_4O_explicit,4,4,3,4,4
GPT-OSS_120B_parantheses,4,4,4,3,4
LLAMA3_1_70B_parantheses,1,2,4,1,1
LLAMA3_70B_parantheses,4,2,2,2,4
PHI3_INSTRUCT_parantheses,2,3,2,2,3
QWEN2_5VL_32B_parantheses,4,3,3,3,4
QWEN2_5VL_72B_parantheses,4,4,4,4,4
QWEN2_5VL_7B_parantheses,1,3,3,3,4
QWEN3_32B_parantheses,4,4,4,4,4
QWEN_7B_parantheses,3,3,3,3,4
GPT_4O_parantheses,4,4,2,3,4
GPT-OSS_120B_roleplay,4,4,4,4,4
LLAMA3_1_70B_roleplay,4,3,2,2,1
LLAMA3_70B_roleplay,4,2,2,2,4
PHI3_INSTRUCT_roleplay,2,3,2,2,4
QWEN2_5VL_32B_roleplay,3,3,3,3,4
QWEN2_5VL_72B_roleplay,4,4,4,4,4
QWEN2_5VL_7B_roleplay,1,3,1,3,1
QWEN3_32B_roleplay,4,4,4,4,4
QWEN_7B_roleplay,3,3,3,3,4
GPT_4O_roleplay,4,4,4,3,4
