D_INTERVIEW,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q208
GPT-OSS_120B_baseline,4,1,3,1,2,1,1,2
LLAMA3_1_70B_baseline,4,2,2,1,3,1,2,2
LLAMA3_70B_baseline,4,2,4,1,2,2,2,2
PHI3_INSTRUCT_baseline,2,2,2,2,2,2,2,1
QWEN2_5VL_32B_baseline,3,3,3,3,3,3,3,3
QWEN2_5VL_72B_baseline,5,1,3,1,1,1,2,1
QWEN2_5VL_7B_baseline,3,3,3,5,3,5,3,3
QWEN3_32B_baseline,3,2,3,1,2,1,1,2
QWEN_7B_baseline,1,3,1,5,4,5,4,1
GPT_4O_baseline,3,3,3,1,2,1,3,1
GPT-OSS_120B_chainofthought,4,2,3,1,1,1,1,1
LLAMA3_1_70B_chainofthought,3,4,4,1,3,3,2,2
LLAMA3_70B_chainofthought,4,3,3,2,3,2,2,3
PHI3_INSTRUCT_chainofthought,2,3,2,2,3,2,2,2
QWEN2_5VL_32B_chainofthought,3,3,3,3,3,3,3,3
QWEN2_5VL_72B_chainofthought,5,2,3,1,2,1,2,1
QWEN2_5VL_7B_chainofthought,3,3,3,3,3,3,3,3
QWEN3_32B_chainofthought,4,3,2,1,1,1,1,1
QWEN_7B_chainofthought,4,3,2,3,5,4,1,3
GPT_4O_chainofthought,4,3,3,1,3,1,2,2
GPT-OSS_120B_declarative,3,1,2,1,1,1,1,1
LLAMA3_1_70B_declarative,4,2,2,3,2,2,2,2
LLAMA3_70B_declarative,3,3,3,2,2,2,3,2
PHI3_INSTRUCT_declarative,3,2,3,2,2,2,2,2
QWEN2_5VL_32B_declarative,3,3,3,3,3,3,3,3
QWEN2_5VL_72B_declarative,3,2,3,1,3,1,2,1
QWEN2_5VL_7B_declarative,3,3,3,5,3,3,3,3
QWEN3_32B_declarative,2,1,3,1,2,1,1,1
QWEN_7B_declarative,3,2,4,4,3,3,3,3
GPT_4O_declarative,3,3,3,1,3,1,2,1
GPT-OSS_120B_explicit,4,1,3,1,2,1,1,2
LLAMA3_1_70B_explicit,3,4,4,1,3,2,2,2
LLAMA3_70B_explicit,4,3,3,1,4,1,2,2
PHI3_INSTRUCT_explicit,2,3,3,2,3,2,3,2
QWEN2_5VL_32B_explicit,3,3,3,2,3,1,3,3
QWEN2_5VL_72B_explicit,4,2,3,1,1,1,2,1
QWEN2_5VL_7B_explicit,3,3,3,5,3,5,3,3
QWEN3_32B_explicit,3,2,3,1,1,1,1,1
QWEN_7B_explicit,1,3,4,4,3,3,3,3
GPT_4O_explicit,3,2,3,1,3,1,1,1
GPT-OSS_120B_parantheses,4,2,3,1,1,1,1,2
LLAMA3_1_70B_parantheses,4,4,4,2,4,2,2,2
LLAMA3_70B_parantheses,4,2,3,1,3,1,2,2
PHI3_INSTRUCT_parantheses,3,3,3,4,4,2,3,3
QWEN2_5VL_32B_parantheses,3,3,3,1,3,1,3,2
QWEN2_5VL_72B_parantheses,4,1,3,1,1,1,1,2
QWEN2_5VL_7B_parantheses,3,3,3,5,3,5,3,3
QWEN3_32B_parantheses,3,2,2,1,1,1,1,1
QWEN_7B_parantheses,3,5,2,3,4,3,4,3
GPT_4O_parantheses,3,3,3,1,3,1,3,1
GPT-OSS_120B_roleplay,4,2,3,1,2,1,1,2
LLAMA3_1_70B_roleplay,2,2,2,2,2,2,1,1
LLAMA3_70B_roleplay,3,2,3,1,2,2,2,2
PHI3_INSTRUCT_roleplay,1,3,1,1,2,3,2,1
QWEN2_5VL_32B_roleplay,3,3,3,2,3,1,3,3
QWEN2_5VL_72B_roleplay,5,2,4,1,2,1,2,1
QWEN2_5VL_7B_roleplay,3,3,3,5,5,5,4,3
QWEN3_32B_roleplay,3,2,4,1,1,1,1,2
QWEN_7B_roleplay,3,4,4,5,5,5,4,3
GPT_4O_roleplay,4,3,3,1,3,1,1,1
