D_INTERVIEW,Q241,Q242,Q243,Q244,Q245,Q246,Q247,Q248,Q249
GPT-OSS_120B_baseline,8,2,10,7,1,9,2,2,9
LLAMA3_1_70B_baseline,6,0,8,4,0,8,2,0,8
LLAMA3_70B_baseline,8,0,10,6,0,10,2,10,8
PHI3_INSTRUCT_baseline,7,2,9,10,9,9,2,0,9
QWEN2_5VL_32B_baseline,5,0,10,4,0,9,1,1,10
QWEN2_5VL_72B_baseline,5,1,10,5,1,9,2,1,8
QWEN2_5VL_7B_baseline,7,0,9,2,0,9,0,0,9
QWEN3_32B_baseline,7,1,10,6,1,10,1,2,9
QWEN_7B_baseline,6,10,9,3,4,9,10,1,10
GPT_4O_baseline,7,1,9,6,1,10,5,3,10
GPT-OSS_120B_chainofthought,7,1,10,6,1,9,2,2,10
LLAMA3_1_70B_chainofthought,7,0,10,8,0,8,4,0,8
LLAMA3_70B_chainofthought,8,0,10,8,0,10,2,0,8
PHI3_INSTRUCT_chainofthought,7,9,9,7,9,9,9,9,9
QWEN2_5VL_32B_chainofthought,7,1,10,5,2,9,2,2,9
QWEN2_5VL_72B_chainofthought,5,1,9,5,1,9,2,2,9
QWEN2_5VL_7B_chainofthought,7,0,9,3,0,9,0,0,9
QWEN3_32B_chainofthought,7,1,10,7,1,10,2,3,10
QWEN_7B_chainofthought,3,6,9,3,4,8,4,2,6
GPT_4O_chainofthought,6,1,10,5,1,9,3,3,10
GPT-OSS_120B_declarative,9,2,9,7,1,10,3,2,9
LLAMA3_1_70B_declarative,8,0,10,8,3,8,6,0,8
LLAMA3_70B_declarative,8,0,10,8,0,10,2,0,8
PHI3_INSTRUCT_declarative,7,3,9,7,9,9,2,2,9
QWEN2_5VL_32B_declarative,7,1,9,7,1,9,2,1,9
QWEN2_5VL_72B_declarative,7,2,9,5,1,9,2,1,9
QWEN2_5VL_7B_declarative,7,0,9,7,0,9,0,2,8
QWEN3_32B_declarative,7,1,10,4,1,10,2,5,10
QWEN_7B_declarative,7,2,9,2,2,7,2,2,9
GPT_4O_declarative,5,1,10,4,1,9,3,3,10
GPT-OSS_120B_explicit,7,1,9,6,1,9,4,2,9
LLAMA3_1_70B_explicit,6,0,9,5,0,9,2,0,8
LLAMA3_70B_explicit,8,0,10,6,0,9,2,0,9
PHI3_INSTRUCT_explicit,7,2,8,4,9,8,2,2,9
QWEN2_5VL_32B_explicit,5,1,10,4,1,9,1,1,10
QWEN2_5VL_72B_explicit,5,1,10,5,1,9,2,1,9
QWEN2_5VL_7B_explicit,7,0,9,3,0,9,0,0,9
QWEN3_32B_explicit,6,1,10,5,1,10,1,2,10
QWEN_7B_explicit,7,6,9,2,2,9,6,2,6
GPT_4O_explicit,6,1,10,5,1,10,5,5,10
GPT-OSS_120B_parantheses,7,2,9,5,1,9,4,2,9
LLAMA3_1_70B_parantheses,7,0,8,4,0,9,2,6,10
LLAMA3_70B_parantheses,6,0,10,8,0,10,2,0,8
PHI3_INSTRUCT_parantheses,7,1,9,4,2,9,1,9,9
QWEN2_5VL_32B_parantheses,5,1,10,5,1,9,2,1,10
QWEN2_5VL_72B_parantheses,5,1,9,5,1,9,2,1,9
QWEN2_5VL_7B_parantheses,7,0,9,6,0,8,0,2,8
QWEN3_32B_parantheses,6,1,10,5,1,10,3,3,10
QWEN_7B_parantheses,4,6,9,7,2,8,2,3,9
GPT_4O_parantheses,6,1,10,6,3,8,5,5,10
GPT-OSS_120B_roleplay,7,2,10,6,1,10,2,2,10
LLAMA3_1_70B_roleplay,8,1,10,6,0,9,2,2,8
LLAMA3_70B_roleplay,8,0,10,8,0,10,2,0,10
PHI3_INSTRUCT_roleplay,7,2,9,8,9,9,2,2,9
QWEN2_5VL_32B_roleplay,7,1,10,5,1,9,2,2,10
QWEN2_5VL_72B_roleplay,7,1,10,7,1,9,2,2,9
QWEN2_5VL_7B_roleplay,6,0,9,6,0,9,0,2,9
QWEN3_32B_roleplay,7,2,10,7,1,10,3,2,10
QWEN_7B_roleplay,7,6,9,4,5,9,2,2,9
GPT_4O_roleplay,7,1,10,7,2,10,3,4,10
